State,Year,Total
A & N Islands,2001,645.0
A & N Islands,2002,720.0
A & N Islands,2003,565.0
A & N Islands,2004,610.0
A & N Islands,2005,695.0
A & N Islands,2006,665.0
A & N Islands,2007,775.0
A & N Islands,2008,714.0
A & N Islands,2009,655.0
A & N Islands,2010,780.0
A & N Islands,2011,680.0
A & N Islands,2012,605.0
Andhra Pradesh,2001,52610.0
Andhra Pradesh,2002,58465.0
Andhra Pradesh,2003,57045.0
Andhra Pradesh,2004,67630.0
Andhra Pradesh,2005,67210.0
Andhra Pradesh,2006,66380.0
Andhra Pradesh,2007,74410.0
Andhra Pradesh,2008,71729.0
Andhra Pradesh,2009,72500.0
Andhra Pradesh,2010,79505.0
Andhra Pradesh,2011,75385.0
Andhra Pradesh,2012,71190.0
Arunachal Pradesh,2001,555.0
Arunachal Pradesh,2002,570.0
Arunachal Pradesh,2003,405.0
Arunachal Pradesh,2004,395.0
Arunachal Pradesh,2005,350.0
Arunachal Pradesh,2006,645.0
Arunachal Pradesh,2007,644.0
Arunachal Pradesh,2008,549.0
Arunachal Pradesh,2009,549.0
Arunachal Pradesh,2010,655.0
Arunachal Pradesh,2011,670.0
Arunachal Pradesh,2012,646.0
Assam,2001,13230.0
Assam,2002,12550.0
Assam,2003,12963.0
Assam,2004,14178.0
Assam,2005,14209.0
Assam,2006,15155.0
Assam,2007,15301.0
Assam,2008,14945.0
Assam,2009,14830.0
Assam,2010,14965.0
Assam,2011,13630.0
Assam,2012,16320.0
Bihar,2001,3015.0
Bihar,2002,3600.0
Bihar,2003,2984.0
Bihar,2004,1755.0
Bihar,2005,2715.0
Bihar,2006,3090.0
Bihar,2007,4825.0
Bihar,2008,5075.0
Bihar,2009,5255.0
Bihar,2010,6130.0
Bihar,2011,3975.0
Bihar,2012,3795.0
Chandigarh,2001,350.0
Chandigarh,2002,435.0
Chandigarh,2003,515.0
Chandigarh,2004,375.0
Chandigarh,2005,445.0
Chandigarh,2006,400.0
Chandigarh,2007,408.0
Chandigarh,2008,415.0
Chandigarh,2009,374.0
Chandigarh,2010,355.0
Chandigarh,2011,525.0
Chandigarh,2012,567.0
Chhattisgarh,2001,20051.0
Chhattisgarh,2002,19750.0
Chhattisgarh,2003,19595.0
Chhattisgarh,2004,22475.0
Chhattisgarh,2005,24405.0
Chhattisgarh,2006,23130.0
Chhattisgarh,2007,24195.0
Chhattisgarh,2008,24725.0
Chhattisgarh,2009,29415.0
Chhattisgarh,2010,32563.0
Chhattisgarh,2011,33780.0
Chhattisgarh,2012,28270.0
D & N Haveli,2001,250.0
D & N Haveli,2002,250.0
D & N Haveli,2003,260.0
D & N Haveli,2004,195.0
D & N Haveli,2005,345.0
D & N Haveli,2006,210.0
D & N Haveli,2007,380.0
D & N Haveli,2008,300.0
D & N Haveli,2009,280.0
D & N Haveli,2010,315.0
D & N Haveli,2011,315.0
D & N Haveli,2012,330.0
Daman & Diu,2001,69.0
Daman & Diu,2002,85.0
Daman & Diu,2003,118.0
Daman & Diu,2004,65.0
Daman & Diu,2005,159.0
Daman & Diu,2006,110.0
Daman & Diu,2007,75.0
Daman & Diu,2008,95.0
Daman & Diu,2009,115.0
Daman & Diu,2010,155.0
Daman & Diu,2011,165.0
Daman & Diu,2012,180.0
Delhi (Ut),2001,6195.0
Delhi (Ut),2002,5265.0
Delhi (Ut),2003,5765.0
Delhi (Ut),2004,6277.0
Delhi (Ut),2005,6224.0
Delhi (Ut),2006,7458.0
Delhi (Ut),2007,7405.0
Delhi (Ut),2008,6511.0
Delhi (Ut),2009,7385.0
Delhi (Ut),2010,7713.0
Delhi (Ut),2011,8580.0
Delhi (Ut),2012,9494.0
Goa,2001,1280.0
Goa,2002,1545.0
Goa,2003,1500.0
Goa,2004,1570.0
Goa,2005,1410.0
Goa,2006,1375.0
Goa,2007,1350.0
Goa,2008,1431.0
Goa,2009,1382.0
Goa,2010,1610.0
Goa,2011,1465.0
Goa,2012,1445.0
Gujarat,2001,23955.0
Gujarat,2002,23216.0
Gujarat,2003,22830.0
Gujarat,2004,23868.0
Gujarat,2005,23825.0
Gujarat,2006,25172.0
Gujarat,2007,27900.0
Gujarat,2008,30818.0
Gujarat,2009,30779.0
Gujarat,2010,31035.0
Gujarat,2011,31910.0
Gujarat,2012,35550.0
Haryana,2001,10031.0
Haryana,2002,11000.0
Haryana,2003,11135.0
Haryana,2004,10410.0
Haryana,2005,10230.0
Haryana,2006,11580.0
Haryana,2007,12165.0
Haryana,2008,13280.0
Haryana,2009,12515.0
Haryana,2010,14470.0
Haryana,2011,16225.0
Haryana,2012,14135.0
Himachal Pradesh,2001,1535.0
Himachal Pradesh,2002,1670.0
